Time [s],Packet ID,MOSI,MISO
0.097511700000000,,0b  1000  0000,
0.097526700000000,,0b  1010  1100,
0.097541700000000,,0b  0000  0011,
0.097650600000000,,0b  1000  0001,
0.097665600000000,,0b  0010  1100,
0.097680700000000,,0b  0111  0100,
0.097750500000000,,0b  0000  0010,
0.097765500000000,,0b  0010  0111,
0.097780500000000,,0b  0111  0100,
0.197579600000000,,0b  1000  0000,
0.197594600000000,,0b  1010  1100,
0.197609600000000,,0b  0000  0011,
0.197718400000000,,0b  1000  0001,
0.197733500000000,,0b  0010  1100,
0.197748500000000,,0b  0111  0100,
0.197819900000000,,0b  0000  0010,
0.197834900000000,,0b  0010  0111,
0.197849800000000,,0b  0111  0100,
0.297646900000000,,0b  1000  0000,
0.297661900000000,,0b  1010  1100,
0.297676900000000,,0b  0000  0011,
0.297785900000000,,0b  0000  0001,
0.297800900000000,,0b  0010  1011,
0.297816000000000,,0b  0111  0100,
0.297885300000000,,0b  0000  0010,
0.297900200000000,,0b  0010  0111,
0.297915200000000,,0b  0111  0100,
0.397716500000000,,0b  1000  0000,
0.397731400000000,,0b  1010  1100,
0.397746400000000,,0b  0000  0011,
0.397856100000000,,0b  1000  0001,
0.397871100000000,,0b  0010  1100,
0.397886100000000,,0b  0111  0100,
0.397954600000000,,0b  0000  0010,
0.397969600000000,,0b  0010  0111,
0.397984600000000,,0b  0111  0100,
0.497785000000000,,0b  1000  0000,
0.497800000000000,,0b  1010  1100,
0.497815000000000,,0b  0000  0011,
0.497924900000000,,0b  1000  0001,
0.497939900000000,,0b  0010  1100,
0.497954900000000,,0b  0111  0100,
0.498023700000000,,0b  0000  0010,
0.498038700000000,,0b  0010  0111,
0.498053700000000,,0b  0111  0100,
0.597851600000000,,0b  1000  0000,
0.597866600000000,,0b  1010  1100,
0.597881600000000,,0b  0000  0011,
0.597992400000000,,0b  1000  0001,
0.598007400000000,,0b  0010  1100,
0.598022400000000,,0b  0111  0100,
0.598090400000000,,0b  0000  0010,
0.598105400000000,,0b  0010  0111,
0.598120400000000,,0b  0111  0100,
0.697922500000000,,0b  1000  0000,
0.697937500000000,,0b  1010  1100,
0.697952500000000,,0b  0000  0011,
0.698061900000000,,0b  1000  0001,
0.698076900000000,,0b  0010  1100,
0.698091900000000,,0b  0111  0100,
0.698161100000000,,0b  1000  0010,
0.698176100000000,,0b  0010  0101,
0.698191100000000,,0b  0111  0100,
0.797997400000000,,0b  1000  0000,
0.798012400000000,,0b  1010  1100,
0.798027400000000,,0b  0000  0011,
0.798136700000000,,0b  1000  0001,
0.798151700000000,,0b  0010  1100,
0.798166800000000,,0b  0111  0100,
0.798236900000000,,0b  1000  0010,
0.798251800000000,,0b  0010  0101,
0.798266800000000,,0b  0111  0100,
0.898062700000000,,0b  1000  0000,
0.898077700000000,,0b  1010  1100,
0.898092700000000,,0b  0000  0011,
0.898202200000000,,0b  1000  0001,
0.898217200000000,,0b  0010  1100,
0.898232200000000,,0b  0111  0100,
