Time [s],Packet ID,MOSI,MISO
0.015707200000000,,0b  0000  0000,
0.015722100000000,,0b  1000  1010,
0.015737100000000,,0b  0000  0011,
0.015847000000000,,0b  1000  0001,
0.015862000000000,,0b  0100  1001,
0.015877000000000,,0b  0111  0100,
0.015947200000000,,0b  0000  0010,
0.015962200000000,,0b  0100  0010,
0.015977300000000,,0b  0111  0100,
0.115774200000000,,0b  1000  0000,
0.115789100000000,,0b  1000  1011,
0.115804100000000,,0b  0000  0011,
0.115913900000000,,0b  1000  0001,
0.115928900000000,,0b  0100  0101,
0.115943900000000,,0b  0111  0100,
0.116014600000000,,0b  0000  0010,
0.116029700000000,,0b  0100  0010,
0.116044700000000,,0b  0111  0100,
0.215839100000000,,0b  1000  0000,
0.215854100000000,,0b  1000  1011,
0.215869100000000,,0b  0000  0011,
0.215979800000000,,0b  1000  0001,
0.215994800000000,,0b  0100  1001,
0.216009900000000,,0b  0111  0100,
0.216080700000000,,0b  0000  0010,
0.216095800000000,,0b  0100  0010,
0.216110800000000,,0b  0111  0100,
0.315910100000000,,0b  0000  0000,
0.315925100000000,,0b  1000  1001,
0.315940100000000,,0b  0000  0011,
0.316050700000000,,0b  1000  0001,
0.316065800000000,,0b  0100  0011,
0.316080800000000,,0b  0111  0100,
0.316150900000000,,0b  0000  0010,
0.316165900000000,,0b  0100  0010,
0.316180900000000,,0b  0111  0100,
0.415979100000000,,0b  1000  0000,
0.415994100000000,,0b  1000  1011,
0.416009100000000,,0b  0000  0011,
0.416119000000000,,0b  0000  0001,
0.416134000000000,,0b  0100  0111,
0.416149000000000,,0b  0111  0100,
0.416219300000000,,0b  0000  0010,
0.416234300000000,,0b  0100  0010,
0.416249400000000,,0b  0111  0100,
0.516043500000000,,0b  0000  0000,
0.516058400000000,,0b  1000  1100,
0.516073400000000,,0b  0000  0011,
0.516182600000000,,0b  1000  0001,
0.516197600000000,,0b  0100  1001,
0.516212600000000,,0b  0111  0100,
0.516284100000000,,0b  0000  0010,
0.516299100000000,,0b  0100  0010,
0.516314100000000,,0b  0111  0100,
0.616108800000000,,0b  0000  0000,
0.616123800000000,,0b  1000  1001,
0.616138800000000,,0b  0000  0011,
0.616248100000000,,0b  1000  0001,
0.616263200000000,,0b  0100  0011,
0.616278200000000,,0b  0111  0100,
0.616347900000000,,0b  0000  0010,
