Temps;Adresse;Statut;Parité;Valeur
254,6995844999999;0001;000;0;14,53466796875
254,6996863999999;0010;000;1;14,53271484375
254,7995086999999;0000;000;0;14,140625
254,7996497999999;0001;000;0;14,53466796875
254,7997489999999;0010;000;0;14,53173828125
254,8995744000000;0000;000;0;14,140625
254,8997144999999;0001;000;0;14,53466796875
254,8998133000000;0010;000;0;14,53173828125
254,9996376000000;0000;000;0;14,140625
254,9997770999999;0001;000;0;14,53466796875
254,9998775999999;0010;000;0;14,53173828125
255,0997029000000;0000;000;1;14,125
255,0998428000000;0001;000;0;14,53466796875
255,0999443000000;0010;000;0;14,53173828125
255,1997711999999;0000;000;0;14,140625
255,1999102000000;0001;000;1;14,5341796875
255,2000103000000;0010;000;0;14,53173828125
255,2998358000000;0000;000;0;14,140625
255,2999762000000;0001;000;1;14,53369140625
255,3000766000000;0010;000;0;14,53173828125
255,3999004000000;0000;000;1;14,125
255,4000407999999;0001;000;1;14,53369140625
255,4001404999999;0010;000;0;14,53173828125
255,4999689999999;0000;000;1;14,125
255,5001095000000;0001;000;1;14,53369140625
255,5002092000000;0010;000;0;14,53173828125
255,6000368999999;0000;000;0;14,140625
255,6001775999999;0001;000;1;14,53369140625
255,6002765000000;0010;000;0;14,53173828125
255,7000992000000;0000;000;0;14,140625
255,7002386000000;0001;000;1;14,53369140625
255,7003395000000;0010;000;0;14,53173828125
255,8001621999999;0000;000;0;14,140625
255,8003026000000;0001;000;1;14,5341796875
255,8004023999999;0010;000;0;14,53173828125
255,9002275000000;0000;000;0;14,140625
255,9003678999999;0001;000;1;14,5341796875
255,9004678000000;0010;000;0;14,53173828125
256,0002921000000;0000;000;0;14,140625
256,0004323000000;0001;000;1;14,53369140625
256,0005340999999;0010;000;0;14,53173828125
256,1003637000000;0000;000;0;14,140625
256,1005033000000;0001;000;1;14,53369140625
256,1006027000000;0010;000;0;14,53173828125
256,2004309000000;0000;000;0;14,140625
256,2005710000000;0001;000;1;14,53369140625
256,2006706999999;0010;000;0;14,53173828125
256,3004981999999;0000;000;0;14,140625
256,3006386999999;0001;000;1;14,53369140625
256,3007390000000;0010;000;0;14,53173828125
256,4005604999999;0000;000;1;14,171875
256,4006997000000;0001;000;1;14,5341796875
256,4008000000000;0010;000;0;14,53173828125
256,5006288000000;0000;000;0;14,140625
256,5007684000000;0001;000;1;14,5341796875
256,5008675999999;0010;000;0;14,53173828125
256,6006931000000;0000;000;1;14,125
256,6008337000000;0001;000;1;14,5341796875
256,6009346000000;0010;000;0;14,53173828125
256,7007583000000;0000;000;1;14,125
256,7008976999999;0001;000;1;14,5341796875
256,7009995999999;0010;000;1;14,53271484375
256,8008245999999;0000;000;0;14,140625
256,8009660999999;0001;000;1;14,53369140625
256,8010656000000;0010;000;0;14,53173828125
