Time [s],Packet ID,MOSI,MISO
0.072252900000000,,0b  0000  0000,
0.072267900000000,,0b  1001  0001,
0.072282800000000,,0b  0000  0011,
0.072392900000000,,0b  0000  0001,
0.072407900000000,,0b  0011  1001,
0.072422900000000,,0b  0111  0100,
0.072492900000000,,0b  0000  0010,
0.072507900000000,,0b  0011  0110,
0.072523000000000,,0b  0111  0100,
0.172321900000000,,0b  0000  0000,
0.172336800000000,,0b  1001  0001,
0.172351800000000,,0b  0000  0011,
0.172461400000000,,0b  1000  0001,
0.172476500000000,,0b  0011  1000,
0.172491500000000,,0b  0111  0100,
0.172561900000000,,0b  0000  0010,
0.172577000000000,,0b  0011  0110,
0.172592000000000,,0b  0111  0100,
0.272388500000000,,0b  0000  0000,
0.272403500000000,,0b  1001  0001,
0.272418500000000,,0b  0000  0011,
0.272528000000000,,0b  0000  0001,
0.272543000000000,,0b  0011  0110,
0.272558100000000,,0b  0111  0100,
0.272627600000000,,0b  1000  0010,
0.272642600000000,,0b  0011  0100,
0.272657700000000,,0b  0111  0100,
0.372457500000000,,0b  0000  0000,
0.372472500000000,,0b  1001  0001,
0.372487500000000,,0b  0000  0011,
0.372596900000000,,0b  0000  0001,
0.372611900000000,,0b  0011  0110,
0.372626900000000,,0b  0111  0100,
0.372696300000000,,0b  1000  0010,
0.372711300000000,,0b  0011  0100,
0.372726400000000,,0b  0111  0100,
0.472524100000000,,0b  0000  0000,
0.472539100000000,,0b  1001  0001,
0.472554100000000,,0b  0000  0011,
0.472665100000000,,0b  0000  0001,
0.472680100000000,,0b  0011  0110,
0.472695200000000,,0b  0111  0100,
0.472763300000000,,0b  1000  0010,
0.472778300000000,,0b  0011  0100,
0.472793400000000,,0b  0111  0100,
0.572592800000000,,0b  0000  0000,
0.572607700000000,,0b  1001  0001,
0.572622700000000,,0b  0000  0011,
0.572732300000000,,0b  0000  0001,
0.572747300000000,,0b  0011  0110,
0.572762400000000,,0b  0111  0100,
0.572833300000000,,0b  1000  0010,
0.572848300000000,,0b  0011  0100,
0.572863400000000,,0b  0111  0100,
0.672660400000000,,0b  0000  0000,
0.672675400000000,,0b  1001  0001,
0.672690400000000,,0b  0000  0011,
0.672801200000000,,0b  0000  0001,
0.672816200000000,,0b  0011  0101,
0.672831200000000,,0b  0111  0100,
0.672901000000000,,0b  0000  0010,
0.672916000000000,,0b  0011  0011,
0.672931000000000,,0b  0111  0100,
0.772730700000000,,0b  0000  0000,
0.772745700000000,,0b  1001  0001,
0.772760700000000,,0b  0000  0011,
0.772869400000000,,0b  0000  0001,
0.772884400000000,,0b  0011  0101,
0.772899400000000,,0b  0111  0100,
0.772969300000000,,0b  0000  0010,
0.772984300000000,,0b  0011  0011,
0.772999400000000,,0b  0111  0100,
0.872796600000000,,0b  0000  0000,
0.872811600000000,,0b  1001  0001,
0.872826600000000,,0b  0000  0011,
0.872936900000000,,0b  0000  0001,
0.872951900000000,,0b  0011  0011,
0.872967000000000,,0b  0111  0100,
0.873036300000000,,0b  0000  0010,
0.873051300000000,,0b  0011  0011,
0.873066400000000,,0b  0111  0100,
0.972866200000000,,0b  0000  0000,
0.972881200000000,,0b  1001  0001,
0.972896200000000,,0b  0000  0011,
0.973005700000000,,0b  0000  0001,
0.973020800000000,,0b  0011  0101,
0.973035800000000,,0b  0111  0100,
0.973106000000000,,0b  1000  0010,
0.973121000000000,,0b  0011  0001,
0.973136000000000,,0b  0111  0100,
1.072933500000000,,0b  0000  0000,
1.072948500000000,,0b  1001  0001,
1.072963500000000,,0b  0000  0011,
1.073073300000000,,0b  0000  0001,
1.073088300000000,,0b  0011  0011,
1.073103300000000,,0b  0111  0100,
1.073172900000000,,0b  1000  0010,
1.073188000000000,,0b  0011  0001,
1.073203000000000,,0b  0111  0100,
1.173001500000000,,0b  0000  0000,
1.173016500000000,,0b  1001  0001,
1.173031400000000,,0b  0000  0011,
1.173142400000000,,0b  0000  0001,
1.173157500000000,,0b  0011  0011,
1.173172500000000,,0b  0111  0100,
1.173241300000000,,0b  1000  0010,
1.173256300000000,,0b  0011  0001,
1.173271300000000,,0b  0111  0100,
1.273077400000000,,0b  0000  0000,
1.273092400000000,,0b  1001  0001,
1.273107400000000,,0b  0000  0011,
1.273217000000000,,0b  0000  0001,
1.273232000000000,,0b  0011  0011,
