Time [s],Packet ID,MOSI,MISO
0.025421400000000,,0b  0000  0000,
0.025436400000000,,0b  1011  0000,
0.025451400000000,,0b  0000  0011,
0.025561300000000,,0b  0000  0001,
0.025576300000000,,0b  0010  1011,
0.025591400000000,,0b  0111  0100,
0.025660900000000,,0b  0000  0010,
0.025675900000000,,0b  0010  1000,
0.025690900000000,,0b  0111  0100,
0.125491900000000,,0b  0000  0000,
0.125506900000000,,0b  1011  0000,
0.125521900000000,,0b  0000  0011,
0.125632000000000,,0b  0000  0001,
0.125647100000000,,0b  0010  1011,
0.125662100000000,,0b  0111  0100,
0.125731300000000,,0b  0000  0010,
0.125746300000000,,0b  0010  1000,
0.125761300000000,,0b  0111  0100,
0.225560400000000,,0b  0000  0000,
0.225575400000000,,0b  1011  0000,
0.225590400000000,,0b  0000  0011,
0.225700100000000,,0b  0000  0001,
0.225715100000000,,0b  0010  1011,
0.225730100000000,,0b  0111  0100,
0.225799800000000,,0b  1000  0010,
0.225814700000000,,0b  0010  1010,
0.225829700000000,,0b  0111  0100,
0.325628600000000,,0b  0000  0000,
0.325643600000000,,0b  1011  0000,
0.325658600000000,,0b  0000  0011,
0.325768500000000,,0b  0000  0001,
0.325783500000000,,0b  0010  1011,
0.325798500000000,,0b  0111  0100,
0.325867200000000,,0b  1000  0010,
0.325882200000000,,0b  0010  1010,
0.325897200000000,,0b  0111  0100,
0.425696400000000,,0b  0000  0000,
0.425711400000000,,0b  1011  0000,
0.425726400000000,,0b  0000  0011,
0.425835900000000,,0b  0000  0001,
0.425850900000000,,0b  0010  1011,
0.425865900000000,,0b  0111  0100,
0.425936600000000,,0b  1000  0010,
0.425951600000000,,0b  0010  1010,
0.425966600000000,,0b  0111  0100,
0.525763600000000,,0b  0000  0000,
0.525778600000000,,0b  1011  0000,
0.525793600000000,,0b  0000  0011,
0.525903900000000,,0b  0000  0001,
0.525919000000000,,0b  0010  1011,
0.525934000000000,,0b  0111  0100,
0.526002700000000,,0b  1000  0010,
0.526017700000000,,0b  0010  1010,
0.526032700000000,,0b  0111  0100,
0.625834500000000,,0b  0000  0000,
0.625849400000000,,0b  1011  0000,
0.625864400000000,,0b  0000  0011,
0.625973700000000,,0b  0000  0001,
0.625988700000000,,0b  0010  1101,
0.626003700000000,,0b  0111  0100,
0.626074100000000,,0b  1000  0010,
0.626089100000000,,0b  0010  1010,
0.626104100000000,,0b  0111  0100,
0.725901000000000,,0b  0000  0000,
0.725915900000000,,0b  1011  0000,
0.725930900000000,,0b  0000  0011,
0.726041400000000,,0b  0000  0001,
0.726056400000000,,0b  0010  1011,
0.726071500000000,,0b  0111  0100,
0.726140300000000,,0b  1000  0010,
0.726155200000000,,0b  0010  1010,
0.726170200000000,,0b  0111  0100,
0.825967800000000,,0b  0000  0000,
0.825982800000000,,0b  1011  0000,
0.825997800000000,,0b  0000  0011,
0.826107500000000,,0b  0000  0001,
0.826122500000000,,0b  0010  1011,
0.826137500000000,,0b  0111  0100,
0.826207000000000,,0b  1000  0010,
0.826222000000000,,0b  0010  1010,
0.826237000000000,,0b  0111  0100,
0.926035700000000,,0b  0000  0000,
0.926050600000000,,0b  1011  0000,
0.926065600000000,,0b  0000  0011,
0.926176900000000,,0b  0000  0001,
0.926191900000000,,0b  0010  1101,
0.926206900000000,,0b  0111  0100,
0.926275100000000,,0b  0000  0010,
0.926290100000000,,0b  0010  1011,
0.926305100000000,,0b  0111  0100,
1.026103800000000,,0b  0000  0000,
1.026118800000000,,0b  1011  0000,
1.026133800000000,,0b  0000  0011,
1.026244600000000,,0b  0000  0001,
1.026259600000000,,0b  0010  1101,
1.026274700000000,,0b  0111  0100,
1.026342600000000,,0b  0000  0010,
1.026357600000000,,0b  0010  1011,
1.026372500000000,,0b  0111  0100,
1.126172700000000,,0b  0000  0000,
1.126187700000000,,0b  1011  0000,
1.126202700000000,,0b  0000  0011,
1.126311300000000,,0b  0000  0001,
1.126326400000000,,0b  0010  1011,
1.126341400000000,,0b  0111  0100,
1.126411300000000,,0b  1000  0010,
1.126426300000000,,0b  0010  1010,
1.126441300000000,,0b  0111  0100,
1.226238900000000,,0b  0000  0000,
