Time [s],Packet ID,MOSI,MISO
0.045125000000000,,0b  1000  0000,
0.045139900000000,,0b  1001  1100,
0.045154900000000,,0b  0000  0011,
0.045264200000000,,0b  0000  0001,
0.045279200000000,,0b  0100  0111,
0.045294300000000,,0b  0111  0100,
0.045364800000000,,0b  0000  0010,
0.045379800000000,,0b  0100  0001,
0.045394800000000,,0b  0111  0100,
0.145194100000000,,0b  1000  0000,
0.145209100000000,,0b  1001  1100,
0.145224100000000,,0b  0000  0011,
0.145333400000000,,0b  1000  0001,
0.145348500000000,,0b  0100  0110,
0.145363500000000,,0b  0111  0100,
0.145432800000000,,0b  0000  0010,
0.145447800000000,,0b  0100  0001,
0.145462800000000,,0b  0111  0100,
0.245261900000000,,0b  1000  0000,
0.245276900000000,,0b  1001  1100,
0.245291900000000,,0b  0000  0011,
0.245401700000000,,0b  1000  0001,
0.245416700000000,,0b  0100  0110,
0.245431800000000,,0b  0111  0100,
0.245501500000000,,0b  1000  0010,
0.245516500000000,,0b  0100  0000,
0.245531500000000,,0b  0111  0100,
0.345329800000000,,0b  1000  0000,
0.345344800000000,,0b  1001  1100,
0.345359800000000,,0b  0000  0011,
0.345469600000000,,0b  1000  0001,
0.345484600000000,,0b  0100  0101,
0.345499700000000,,0b  0111  0100,
0.345568200000000,,0b  1000  0010,
0.345583200000000,,0b  0100  0000,
0.345598200000000,,0b  0111  0100,
0.445397900000000,,0b  1000  0000,
0.445412900000000,,0b  1001  1100,
0.445427900000000,,0b  0000  0011,
0.445538200000000,,0b  1000  0001,
0.445553200000000,,0b  0100  0101,
0.445568200000000,,0b  0111  0100,
0.445637600000000,,0b  1000  0010,
0.445652500000000,,0b  0011  1110,
0.445667500000000,,0b  0111  0100,
0.545466100000000,,0b  1000  0000,
0.545481100000000,,0b  1001  1100,
0.545496100000000,,0b  0000  0011,
0.545606700000000,,0b  1000  0001,
0.545621800000000,,0b  0100  0011,
0.545636800000000,,0b  0111  0100,
0.545704900000000,,0b  1000  0010,
0.545719900000000,,0b  0011  1101,
0.545734900000000,,0b  0111  0100,
0.645534600000000,,0b  1000  0000,
0.645549600000000,,0b  1001  1100,
0.645564600000000,,0b  0000  0011,
0.645674300000000,,0b  1000  0001,
0.645689300000000,,0b  0100  0011,
0.645704400000000,,0b  0111  0100,
0.645774600000000,,0b  1000  0010,
0.645789600000000,,0b  0011  1101,
0.645804600000000,,0b  0111  0100,
0.745603400000000,,0b  1000  0000,
0.745618400000000,,0b  1001  1100,
0.745633400000000,,0b  0000  0011,
0.745742200000000,,0b  1000  0001,
0.745757300000000,,0b  0100  0011,
0.745772300000000,,0b  0111  0100,
0.745841300000000,,0b  1000  0010,
0.745856300000000,,0b  0011  1101,
0.745871300000000,,0b  0111  0100,
0.845672600000000,,0b  0000  0000,
0.845687600000000,,0b  1001  1110,
0.845702600000000,,0b  0000  0011,
0.845811800000000,,0b  0000  0001,
0.845826800000000,,0b  0100  0010,
0.845841900000000,,0b  0111  0100,
0.845911600000000,,0b  1000  0010,
0.845926600000000,,0b  0011  1101,
0.845941600000000,,0b  0111  0100,
0.945743800000000,,0b  1000  0000,
0.945758700000000,,0b  1001  1100,
0.945773700000000,,0b  0000  0011,
0.945884000000000,,0b  0000  0001,
0.945899100000000,,0b  0100  0010,
0.945914100000000,,0b  0111  0100,
0.945983300000000,,0b  0000  0010,
0.945998300000000,,0b  0011  1100,
0.946013300000000,,0b  0111  0100,
1.045811600000000,,0b  0000  0000,
1.045826600000000,,0b  1001  1110,
1.045841600000000,,0b  0000  0011,
1.045952000000000,,0b  0000  0001,
1.045967000000000,,0b  0100  0010,
1.045982000000000,,0b  0111  0100,
1.046051400000000,,0b  0000  0010,
1.046066300000000,,0b  0011  1100,
1.046081300000000,,0b  0111  0100,
1.145881100000000,,0b  1000  0000,
1.145896100000000,,0b  1001  1100,
1.145911100000000,,0b  0000  0011,
1.146021900000000,,0b  1000  0001,
1.146036900000000,,0b  0100  0000,
1.146051900000000,,0b  0111  0100,
1.146121700000000,,0b  0000  0010,
1.146136700000000,,0b  0011  1100,
1.146151700000000,,0b  0111  0100,
1.245949600000000,,0b  1000  0000,
1.245964600000000,,0b  1001  1100,
1.245979600000000,,0b  0000  0011,
1.246089100000000,,0b  0000  0001,
1.246104100000000,,0b  0100  0010,
1.246119200000000,,0b  0111  0100,
1.246188100000000,,0b  0000  0010,
1.246203100000000,,0b  0011  1100,
1.246218100000000,,0b  0111  0100,
1.346017800000000,,0b  0000  0000,
1.346032800000000,,0b  1001  1110,
1.346047800000000,,0b  0000  0011,
1.346158700000000,,0b  0000  0001,
1.346173700000000,,0b  0100  0010,
1.346188800000000,,0b  0111  0100,
1.346256400000000,,0b  0000  0010,
1.346271400000000,,0b  0011  1100,
1.346286400000000,,0b  0111  0100,
1.446087300000000,,0b  0000  0000,
