Time [s],Packet ID,MOSI,MISO
0.010502200000000,,0b  0000  0000,
0.010517200000000,,0b  1000  1111,
0.010532200000000,,0b  0000  0011,
0.010642600000000,,0b  1000  0001,
0.010657600000000,,0b  0011  0111,
0.010672700000000,,0b  0111  0100,
0.010742300000000,,0b  0000  0010,
0.010757400000000,,0b  0011  0101,
0.010772400000000,,0b  0111  0100,
0.110574800000000,,0b  0000  0000,
0.110589800000000,,0b  1000  1111,
0.110604800000000,,0b  0000  0011,
0.110715100000000,,0b  0000  0001,
0.110730200000000,,0b  0011  1001,
0.110745200000000,,0b  0111  0100,
0.110815700000000,,0b  0000  0010,
0.110830800000000,,0b  0011  0101,
0.110845800000000,,0b  0111  0100,
0.210646800000000,,0b  0000  0000,
0.210661800000000,,0b  1000  1111,
0.210676800000000,,0b  0000  0011,
0.210786600000000,,0b  0000  0001,
0.210801700000000,,0b  0011  1001,
0.210816700000000,,0b  0111  0100,
0.210886500000000,,0b  0000  0010,
0.210901500000000,,0b  0011  0110,
0.210916500000000,,0b  0111  0100,
0.310712400000000,,0b  0000  0000,
0.310727400000000,,0b  1000  1111,
0.310742400000000,,0b  0000  0011,
0.310851800000000,,0b  0000  0001,
0.310866900000000,,0b  0011  1001,
0.310881900000000,,0b  0111  0100,
0.310952500000000,,0b  0000  0010,
0.310967600000000,,0b  0011  0110,
0.310982600000000,,0b  0111  0100,
0.410783000000000,,0b  0000  0000,
0.410798000000000,,0b  1000  1111,
0.410813000000000,,0b  0000  0011,
0.410923000000000,,0b  0000  0001,
0.410938100000000,,0b  0011  1010,
0.410953100000000,,0b  0111  0100,
0.411024000000000,,0b  1000  0010,
0.411039000000000,,0b  0011  1000,
0.411054000000000,,0b  0111  0100,
0.510851700000000,,0b  0000  0000,
0.510866700000000,,0b  1000  1111,
0.510881700000000,,0b  0000  0011,
0.510991200000000,,0b  0000  0001,
0.511006200000000,,0b  0011  1010,
0.511021300000000,,0b  0111  0100,
0.511091000000000,,0b  1000  0010,
0.511106000000000,,0b  0011  1000,
0.511121100000000,,0b  0111  0100,
0.610921000000000,,0b  0000  0000,
0.610936000000000,,0b  1000  1111,
0.610950900000000,,0b  0000  0011,
0.611061700000000,,0b  0000  0001,
0.611076800000000,,0b  0011  1010,
0.611091800000000,,0b  0111  0100,
0.611160400000000,,0b  1000  0010,
0.611175400000000,,0b  0011  1000,
0.611190500000000,,0b  0111  0100,
0.710997200000000,,0b  0000  0000,
0.711012200000000,,0b  1000  1111,
0.711027200000000,,0b  0000  0011,
0.711136300000000,,0b  0000  0001,
0.711151300000000,,0b  0011  1100,
0.711166300000000,,0b  0111  0100,
0.711237500000000,,0b  0000  0010,
0.711252500000000,,0b  0011  1001,
0.711267600000000,,0b  0111  0100,
0.811064200000000,,0b  0000  0000,
0.811079200000000,,0b  1000  1111,
0.811094200000000,,0b  0000  0011,
0.811204100000000,,0b  0000  0001,
0.811219100000000,,0b  0011  1100,
0.811234200000000,,0b  0111  0100,
0.811305900000000,,0b  0000  0010,
0.811320900000000,,0b  0011  1001,
0.811336000000000,,0b  0111  0100,
0.911131500000000,,0b  0000  0000,
0.911146500000000,,0b  1000  1111,
0.911161500000000,,0b  0000  0011,
0.911271300000000,,0b  0000  0001,
0.911286300000000,,0b  0011  1100,
0.911301400000000,,0b  0111  0100,
0.911370600000000,,0b  0000  0010,
0.911385600000000,,0b  0011  1001,
0.911400700000000,,0b  0111  0100,
1.011199100000000,,0b  0000  0000,
1.011214100000000,,0b  1000  1111,
1.011229100000000,,0b  0000  0011,
1.011339500000000,,0b  0000  0001,
1.011354500000000,,0b  0011  1100,
1.011369500000000,,0b  0111  0100,
1.011439700000000,,0b  0000  0010,
1.011454700000000,,0b  0011  1001,
1.011469700000000,,0b  0111  0100,
1.111270400000000,,0b  0000  0000,
1.111285400000000,,0b  1000  1111,
1.111300400000000,,0b  0000  0011,
1.111410000000000,,0b  0000  0001,
1.111425000000000,,0b  0011  1100,
1.111440100000000,,0b  0111  0100,
1.111510100000000,,0b  0000  0010,
1.111525100000000,,0b  0011  1001,
1.111540100000000,,0b  0111  0100,
1.211335000000000,,0b  0000  0000,
1.211350000000000,,0b  1000  1111,
1.211365000000000,,0b  0000  0011,
1.211476500000000,,0b  0000  0001,
1.211491500000000,,0b  0011  1100,
1.211506600000000,,0b  0111  0100,
1.211575500000000,,0b  0000  0010,
1.211590500000000,,0b  0011  1001,
1.211605500000000,,0b  0111  0100,
1.311404300000000,,0b  0000  0000,
1.311419300000000,,0b  1000  1111,
1.311434300000000,,0b  0000  0011,
1.311545000000000,,0b  0000  0001,
1.311560000000000,,0b  0011  1010,
1.311575100000000,,0b  0111  0100,
1.311644900000000,,0b  0000  0010,
1.311659900000000,,0b  0011  1001,
1.311674900000000,,0b  0111  0100,
1.411472200000000,,0b  0000  0000,
1.411487200000000,,0b  1000  1111,
1.411502200000000,,0b  0000  0011,
1.411612200000000,,0b  0000  0001,
1.411627200000000,,0b  0011  1010,
1.411642200000000,,0b  0111  0100,
1.411712600000000,,0b  1000  0010,
1.411727600000000,,0b  0011  0111,
1.411742600000000,,0b  0111  0100,
1.511540500000000,,0b  0000  0000,
1.511555500000000,,0b  1000  1111,
1.511570500000000,,0b  0000  0011,
1.511681300000000,,0b  0000  0001,
1.511696400000000,,0b  0011  1001,
1.511711400000000,,0b  0111  0100,
1.511780600000000,,0b  1000  0010,
1.511795700000000,,0b  0011  1000,
1.511810700000000,,0b  0111  0100,
1.611610500000000,,0b  0000  0000,
1.611625400000000,,0b  1000  1111,
1.611640400000000,,0b  0000  0011,
1.611749900000000,,0b  1000  0001,
1.611764900000000,,0b  0011  0111,
1.611779900000000,,0b  0111  0100,
1.611850400000000,,0b  0000  0010,
1.611865400000000,,0b  0011  0110,
1.611880400000000,,0b  0111  0100,
1.711678100000000,,0b  0000  0000,
1.711693100000000,,0b  1000  1111,
1.711708000000000,,0b  0000  0011,
1.711817400000000,,0b  0000  0001,
1.711832400000000,,0b  0011  0110,
1.711847400000000,,0b  0111  0100,
1.711917700000000,,0b  0000  0010,
1.711932800000000,,0b  0011  0011,
