Time [s],Packet ID,MOSI,MISO
0.068093500000000,,0b  0000  0000,
0.068108500000000,,0b  1000  1111,
0.068123500000000,,0b  0000  0011,
0.068234000000000,,0b  1000  0001,
0.068249000000000,,0b  0100  1001,
0.068264000000000,,0b  0111  0100,
0.068333100000000,,0b  0000  0010,
0.068348200000000,,0b  0100  1000,
0.068363200000000,,0b  0111  0100,
0.168164600000000,,0b  0000  0000,
0.168179600000000,,0b  1000  1111,
0.168194600000000,,0b  0000  0011,
0.168305700000000,,0b  1000  0001,
0.168320800000000,,0b  0100  1001,
0.168335800000000,,0b  0111  0100,
0.168405800000000,,0b  0000  0010,
0.168420800000000,,0b  0100  1000,
0.168435900000000,,0b  0111  0100,
0.268233300000000,,0b  0000  0000,
0.268248300000000,,0b  1000  1111,
0.268263300000000,,0b  0000  0011,
0.268373100000000,,0b  1000  0001,
0.268388200000000,,0b  0100  1001,
0.268403200000000,,0b  0111  0100,
0.268473100000000,,0b  0000  0010,
0.268488200000000,,0b  0100  1000,
0.268503200000000,,0b  0111  0100,
0.368304400000000,,0b  0000  0000,
0.368319400000000,,0b  1000  1111,
0.368334400000000,,0b  0000  0011,
0.368444600000000,,0b  1000  0001,
0.368459600000000,,0b  0100  1001,
0.368474600000000,,0b  0111  0100,
0.368544800000000,,0b  1000  0010,
0.368559800000000,,0b  0100  0110,
0.368574900000000,,0b  0111  0100,
0.468371500000000,,0b  0000  0000,
0.468386500000000,,0b  1000  1111,
0.468401500000000,,0b  0000  0011,
0.468511000000000,,0b  0000  0001,
0.468526000000000,,0b  0100  0111,
0.468541000000000,,0b  0111  0100,
0.468610800000000,,0b  1000  0010,
0.468625800000000,,0b  0100  0110,
0.468640800000000,,0b  0111  0100,
0.568439900000000,,0b  0000  0000,
0.568454900000000,,0b  1000  1111,
0.568469900000000,,0b  0000  0011,
0.568580400000000,,0b  0000  0001,
0.568595400000000,,0b  0100  0111,
0.568610500000000,,0b  0111  0100,
0.568680100000000,,0b  1000  0010,
0.568695100000000,,0b  0100  0110,
0.568710200000000,,0b  0111  0100,
0.668514600000000,,0b  0000  0000,
0.668529600000000,,0b  1000  1111,
0.668544600000000,,0b  0000  0011,
0.668655800000000,,0b  0000  0001,
0.668670900000000,,0b  0100  0111,
0.668685900000000,,0b  0111  0100,
0.668755500000000,,0b  1000  0010,
0.668770500000000,,0b  0100  0101,
0.668785500000000,,0b  0111  0100,
0.768583400000000,,0b  0000  0000,
0.768598400000000,,0b  1000  1111,
0.768613400000000,,0b  0000  0011,
0.768722600000000,,0b  1000  0001,
0.768737600000000,,0b  0100  0110,
0.768752700000000,,0b  0111  0100,
0.768823100000000,,0b  1000  0010,
0.768838200000000,,0b  0100  0101,
0.768853200000000,,0b  0111  0100,
0.868649800000000,,0b  0000  0000,
0.868664800000000,,0b  1000  1111,
0.868679800000000,,0b  0000  0011,
0.868789700000000,,0b  1000  0001,
0.868804700000000,,0b  0100  0110,
0.868819800000000,,0b  0111  0100,
0.868890100000000,,0b  1000  0010,
0.868905200000000,,0b  0100  0011,
0.868920200000000,,0b  0111  0100,
0.968719600000000,,0b  0000  0000,
0.968734600000000,,0b  1000  1111,
0.968749600000000,,0b  0000  0011,
0.968859800000000,,0b  1000  0001,
0.968874800000000,,0b  0100  0110,
0.968889900000000,,0b  0111  0100,
0.968960500000000,,0b  1000  0010,
0.968975500000000,,0b  0100  0011,
0.968990500000000,,0b  0111  0100,
1.068786700000000,,0b  0000  0000,
1.068801700000000,,0b  1000  1111,
1.068816600000000,,0b  0000  0011,
1.068927600000000,,0b  1000  0001,
1.068942600000000,,0b  0100  0110,
1.068957600000000,,0b  0111  0100,
1.069028100000000,,0b  1000  0010,
1.069043200000000,,0b  0100  0011,
1.069058200000000,,0b  0111  0100,
1.168855400000000,,0b  0000  0000,
1.168870400000000,,0b  1000  1111,
1.168885400000000,,0b  0000  0011,
1.168995700000000,,0b  1000  0001,
1.169010700000000,,0b  0100  0110,
1.169025700000000,,0b  0111  0100,
1.169096800000000,,0b  1000  0010,
1.169111800000000,,0b  0100  0011,
1.169126800000000,,0b  0111  0100,
1.268923500000000,,0b  0000  0000,
1.268938500000000,,0b  1000  1111,
1.268953500000000,,0b  0000  0011,
1.269064800000000,,0b  1000  0001,
1.269079800000000,,0b  0100  0110,
1.269094800000000,,0b  0111  0100,
1.269163800000000,,0b  1000  0010,
1.269178800000000,,0b  0100  0101,
1.269193900000000,,0b  0111  0100,
1.368990600000000,,0b  0000  0000,
1.369005600000000,,0b  1000  1111,
1.369020600000000,,0b  0000  0011,
1.369131200000000,,0b  1000  0001,
1.369146200000000,,0b  0100  0110,
1.369161300000000,,0b  0111  0100,
1.369233500000000,,0b  1000  0010,
1.369248500000000,,0b  0100  0101,
1.369263500000000,,0b  0111  0100,
1.469058000000000,,0b  0000  0000,
1.469073000000000,,0b  1000  1111,
1.469088000000000,,0b  0000  0011,
1.469198600000000,,0b  0000  0001,
1.469213700000000,,0b  0100  0111,
1.469228700000000,,0b  0111  0100,
1.469298500000000,,0b  1000  0010,
1.469313500000000,,0b  0100  0110,
1.469328500000000,,0b  0111  0100,
1.569127800000000,,0b  0000  0000,
1.569142800000000,,0b  1000  1111,
1.569157800000000,,0b  0000  0011,
1.569266700000000,,0b  0000  0001,
1.569281800000000,,0b  0100  0111,
1.569296800000000,,0b  0111  0100,
