Time [s],Packet ID,MOSI,MISO
0.002772100000000,,0b  0000  0000,
0.002787100000000,,0b  1010  0010,
0.002802100000000,,0b  0000  0011,
0.002911900000000,,0b  0000  0001,
0.002926900000000,,0b  0100  0001,
0.002941900000000,,0b  0111  0100,
0.003011100000000,,0b  0000  0010,
0.003026100000000,,0b  0011  1100,
0.003041100000000,,0b  0111  0100,
0.102841100000000,,0b  0000  0000,
0.102856100000000,,0b  1010  0010,
0.102871100000000,,0b  0000  0011,
0.102979600000000,,0b  0000  0001,
0.102994600000000,,0b  0100  0001,
0.103009600000000,,0b  0111  0100,
0.103085700000000,,0b  0000  0010,
0.103100700000000,,0b  0011  1100,
0.103115700000000,,0b  0111  0100,
0.202906900000000,,0b  0000  0000,
0.202921800000000,,0b  1010  0010,
0.202936800000000,,0b  0000  0011,
0.203047900000000,,0b  0000  0001,
0.203063000000000,,0b  0100  0010,
0.203078000000000,,0b  0111  0100,
0.203147600000000,,0b  0000  0010,
0.203162600000000,,0b  0011  1100,
0.203177600000000,,0b  0111  0100,
0.302974900000000,,0b  0000  0000,
0.302989900000000,,0b  1010  0010,
0.303004900000000,,0b  0000  0011,
0.303115000000000,,0b  0000  0001,
0.303130000000000,,0b  0100  0010,
0.303145000000000,,0b  0111  0100,
0.303221900000000,,0b  1000  0010,
0.303236900000000,,0b  0011  1101,
0.303251900000000,,0b  0111  0100,
0.403044300000000,,0b  0000  0000,
0.403059300000000,,0b  1010  0010,
0.403074300000000,,0b  0000  0011,
0.403184700000000,,0b  1000  0001,
0.403199700000000,,0b  0100  0011,
0.403214800000000,,0b  0111  0100,
0.403283800000000,,0b  1000  0010,
0.403298800000000,,0b  0011  1101,
0.403313800000000,,0b  0111  0100,
0.503110700000000,,0b  0000  0000,
0.503125700000000,,0b  1010  0010,
0.503140700000000,,0b  0000  0011,
0.503250100000000,,0b  1000  0001,
0.503265100000000,,0b  0100  0011,
0.503280100000000,,0b  0111  0100,
0.503351100000000,,0b  0000  0010,
0.503366100000000,,0b  0011  1111,
0.503381100000000,,0b  0111  0100,
0.603177100000000,,0b  0000  0000,
0.603192100000000,,0b  1010  0010,
0.603207100000000,,0b  0000  0011,
0.603318100000000,,0b  1000  0001,
0.603333200000000,,0b  0100  0011,
0.603348200000000,,0b  0111  0100,
0.603416000000000,,0b  0000  0010,
0.603431000000000,,0b  0011  1111,
0.603446000000000,,0b  0111  0100,
0.703245500000000,,0b  0000  0000,
0.703260500000000,,0b  1010  0010,
0.703275400000000,,0b  0000  0011,
0.703384800000000,,0b  1000  0001,
0.703399900000000,,0b  0100  0101,
0.703414900000000,,0b  0111  0100,
0.703485000000000,,0b  1000  0010,
0.703500000000000,,0b  0100  0000,
0.703514900000000,,0b  0111  0100,
0.803312200000000,,0b  0000  0000,
0.803327200000000,,0b  1010  0010,
0.803342200000000,,0b  0000  0011,
0.803451900000000,,0b  1000  0001,
0.803466900000000,,0b  0100  0101,
0.803482000000000,,0b  0111  0100,
0.803550900000000,,0b  1000  0010,
0.803565900000000,,0b  0100  0000,
0.803580900000000,,0b  0111  0100,
0.903379900000000,,0b  0000  0000,
0.903394900000000,,0b  1010  0010,
0.903409900000000,,0b  0000  0011,
0.903519300000000,,0b  1000  0001,
0.903534300000000,,0b  0100  0110,
0.903549300000000,,0b  0111  0100,
0.903619200000000,,0b  0000  0010,
0.903634200000000,,0b  0100  0001,
0.903649200000000,,0b  0111  0100,
1.003448700000000,,0b  0000  0000,
1.003463600000000,,0b  1010  0010,
1.003478600000000,,0b  0000  0011,
1.003588300000000,,0b  0000  0001,
1.003603400000000,,0b  0100  0111,
1.003618400000000,,0b  0111  0100,
1.003697100000000,,0b  0000  0010,
1.003712100000000,,0b  0100  0001,
1.003727100000000,,0b  0111  0100,
1.103524400000000,,0b  0000  0000,
1.103539400000000,,0b  1010  0010,
1.103554400000000,,0b  0000  0011,
1.103664100000000,,0b  0000  0001,
1.103679100000000,,0b  0100  0111,
1.103694100000000,,0b  0111  0100,
1.103763800000000,,0b  1000  0010,
1.103778800000000,,0b  0100  0011,
1.103793700000000,,0b  0111  0100,
1.203590800000000,,0b  0000  0000,
1.203605800000000,,0b  1010  0010,
1.203620800000000,,0b  0000  0011,
1.203730800000000,,0b  1000  0001,
1.203745800000000,,0b  0100  1001,
1.203760900000000,,0b  0111  0100,
1.203831100000000,,0b  0000  0010,
1.203846000000000,,0b  0100  0100,
1.203861000000000,,0b  0111  0100,
1.303658200000000,,0b  0000  0000,
1.303673200000000,,0b  1010  0010,
1.303688200000000,,0b  0000  0011,
